Rank,Name,Release Year,IMDb Rating,No. of User ratings,Duration,Director,Stars,Budget (estimated),Worldwide Gross
1,The Conjuring: The Devil Made Me Do It,2021,6.4,"45,995",112 min,Michael Chaves,"('Patrick Wilson', 'Vera Farmiga', ""Ruairi O'Connor"")",N/A,"$118,211,284"
2,Cruella,2021,7.4,"66,202",134 min,Craig Gillespie,"('Emma Stone', 'Emma Thompson', 'Joel Fry')",N/A,"$134,425,802"
3,In the Heights,2021,7.7,"14,663",143 min,Jon M. Chu,"('Anthony Ramos', 'Corey Hawkins', 'Leslie Grace')",N/A,"$16,859,076"
4,Raya and the Last Dragon,2021,7.4,"79,366",107 min,Don Hall,"('Kelly Marie Tran', 'Awkwafina', 'Gemma Chan')",N/A,"$120,385,610"
5,A Quiet Place Part II,2020,7.8,"34,659",97 min,John Krasinski,"('Emily Blunt', 'Millicent Simmonds', 'Cillian Murphy')",N/A,"$191,659,178"
6,Infinite,2021,5.3,"10,573",106 min,Antoine Fuqua,"('Mark Wahlberg', 'Chiwetel Ejiofor', 'Sophie Cookson')",N/A,N/A
7,Army of the Dead,2021,5.8,"117,375",148 min,Zack Snyder,"('Dave Bautista', 'Ella Purnell', 'Ana de la Reguera')","$70,000,000",N/A
8,Awake,2021,4.8,"10,543",96 min,Mark Raso,"('Gina Rodriguez', 'Ariana Greenblatt', 'Lucius Hoyos')",N/A,"$156,469"
9,Wrath of Man,2021,7.2,"57,706",119 min,Guy Ritchie,"('Jason Statham', 'Holt McCallany', 'Josh Hartnett')",N/A,"$92,262,848"
10,F9,2021,5.2,"9,592",145 min,Justin Lin,"('Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster')",N/A,"$270,610,000"
11,Reminiscence,2021,N/A,N/A,148 min,Lisa Joy,"('Rebecca Ferguson', 'Hugh Jackman', 'Natalie Martinez')",N/A,N/A
12,Spiral: From the Book of Saw,2021,5.3,"21,721",93 min,Darren Lynn Bousman,"('Chris Rock', 'Samuel L. Jackson', 'Max Minghella')","$40,000,000","$36,114,549"
13,A Quiet Place,2018,7.5,"436,807",90 min,John Krasinski,"('Emily Blunt', 'John Krasinski', 'Millicent Simmonds')","$17,000,000","$340,952,971"
14,Nobody,2021,7.4,"101,973",92 min,Ilya Naishuller,"('Bob Odenkirk', 'Aleksey Serebryakov', 'Connie Nielsen')","$16,000,000","$61,558,762"
15,The Conjuring,2013,7.5,"458,527",112 min,James Wan,"('Patrick Wilson', 'Vera Farmiga', 'Ron Livingston')","$20,000,000","$320,290,989"
16,Space Jam: A New Legacy,2021,N/A,N/A,N/A,Malcolm D. Lee,"('LeBron James', 'Zendaya', 'Don Cheadle')",N/A,N/A
17,No Sudden Move,2021,N/A,N/A,90 min,Steven Soderbergh,"('Amy Seimetz', 'Brendan Fraser', 'Noah Jupe')",N/A,N/A
18,Those Who Wish Me Dead,2021,6.0,"32,254",100 min,Taylor Sheridan,"('Angelina Jolie', 'Nicholas Hoult', 'Finn Little')",N/A,"$23,814,886"
19,2 Hearts,2020,6.0,"1,607",101 min,Lance Hool,"('Radha Mitchell', 'Adan Canto', 'Tiera Skovbye')","$15,000,000","$1,349,286"
20,Old,2021,N/A,N/A,N/A,M. Night Shyamalan,"('Gael García Bernal', 'Vicky Krieps', 'Thomasin McKenzie')",N/A,N/A
21,Xtremo,2021,5.7,"2,308",111 min,Daniel Benmayor,"('Teo García', 'Óscar Jaenada', 'Óscar Casas')",N/A,N/A
22,The Conjuring 2,2016,7.3,"237,778",134 min,James Wan,"('Vera Farmiga', 'Patrick Wilson', 'Madison Wolfe')","$40,000,000","$321,788,219"
23,"tick, tick...Boom!",2021,N/A,N/A,N/A,Lin-Manuel Miranda,"('Andrew Garfield', 'Vanessa Hudgens', 'Bradley Whitford')",N/A,N/A
24,The Education of Fredrick Fitzell,2020,5.6,"2,247",97 min,Christopher MacBride,"('Liisa Repo-Martell', ""Dylan O'Brien"", 'Hannah Gross')",N/A,"$68,053"
25,Spider-Man: No Way Home,2021,N/A,N/A,N/A,Jon Watts,"('Angourie Rice', 'Zendaya', 'Tom Holland')",N/A,N/A
26,Tenet,2020,7.4,"369,906",150 min,Christopher Nolan,"('John David Washington', 'Robert Pattinson', 'Elizabeth Debicki')","$205,000,000","$363,656,624"
27,The Woman in the Window,2021,5.7,"49,593",100 min,Joe Wright,"('Amy Adams', 'Gary Oldman', 'Anthony Mackie')",N/A,N/A
28,The Misfits,2021,4.1,"1,350",94 min,Renny Harlin,"('Pierce Brosnan', 'Tim Roth', 'Nick Cannon')","$12,000,000","$388,454"
29,The Last Mercenary,2021,N/A,N/A,110 min,David Charhon,"('Jean-Claude Van Damme', 'Alban Ivanov', 'Samir Decazza')",N/A,N/A
30,The Eyes of Tammy Faye,2021,N/A,N/A,N/A,Michael Showalter,"('Jessica Chastain', 'Andrew Garfield', ""Vincent D'Onofrio"")",N/A,N/A
31,Hitman's Wife's Bodyguard,2021,6.5,"2,703",99 min,Patrick Hughes,"('Ryan Reynolds', 'Samuel L. Jackson', 'Salma Hayek')",N/A,"$15,080,497"
32,Promising Young Woman,2020,7.5,"105,564",113 min,Emerald Fennell,"('Carey Mulligan', 'Bo Burnham', 'Alison Brie')",N/A,"$16,322,965"
33,Zack Snyder's Justice League,2021,8.1,"303,114",242 min,Zack Snyder,"('Henry Cavill', 'Ben Affleck', 'Gal Gadot')",N/A,N/A
34,The Matrix 4,2021,N/A,N/A,N/A,Lana Wachowski,"('Keanu Reeves', 'Christina Ricci', 'Jessica Henwick')",N/A,N/A
35,Godzilla vs. Kong,2021,6.4,"141,910",113 min,Adam Wingard,"('Alexander Skarsgård', 'Millie Bobby Brown', 'Rebecca Hall')","$200,000,000","$440,862,876"
36,365 dni,2020,3.3,"60,925",114 min,Barbara Bialowas,"('Anna Maria Sieklucka', 'Michele Morrone', 'Bronislaw Wroclawski')",N/A,"$9,458,590"
37,The Mitchells vs the Machines,2021,7.8,"59,182",113 min,Michael Rianda,"('Abbi Jacobson', 'Danny McBride', 'Maya Rudolph')",N/A,N/A
