Rank,Name,Release Year,IMDb Rating,No. of User ratings,Duration,Director,Stars,Budget (estimated),Worldwide Gross
1,The Shawshank Redemption,1994,9.2,"2,408,198",142 min,Frank Darabont,"('Tim Robbins', 'Morgan Freeman', 'Bob Gunton')","$25,000,000","$28,817,291"
2,The Godfather,1972,9.1,"1,666,495",175 min,Francis Ford Coppola,"('Marlon Brando', 'Al Pacino', 'James Caan')","$6,000,000","$246,120,986"
3,The Godfather: Part II,1974,9.0,"1,157,870","202 min
|
220 min
            (The Godfather Trilogy 1901-1980 VHS Special Edition)",Francis Ford Coppola,"('Al Pacino', 'Robert De Niro', 'Robert Duvall')","$13,000,000","$48,035,783"
4,The Dark Knight,2008,9.0,"2,367,391",152 min,Christopher Nolan,"('Christian Bale', 'Heath Ledger', 'Aaron Eckhart')","$185,000,000","$1,005,973,645"
5,12 Angry Men,1957,8.9,"709,757",96 min,Sidney Lumet,"('Henry Fonda', 'Lee J. Cobb', 'Martin Balsam')","$350,000",$955
6,Schindler's List,1993,8.9,"1,241,242","195 min
|
185 min
            (TV)",Steven Spielberg,"('Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley')","$22,000,000","$322,161,245"
7,The Lord of the Rings: The Return of the King,2003,8.9,"1,678,747","201 min
|
263 min
            (Blu-Ray Extended Edition)
          |
254 min
            (Special DVD Extended Edition)
          |
192 min
            (DVD Widescreen Edition)",Peter Jackson,"('Elijah Wood', 'Viggo Mortensen', 'Ian McKellen')","$94,000,000","$1,146,030,912"
8,Pulp Fiction,1994,8.8,"1,870,339","154 min
|
178 min
            (original cut)",Quentin Tarantino,"('John Travolta', 'Uma Thurman', 'Samuel L. Jackson')","$8,000,000","$213,928,762"
9,"Il buono, il brutto, il cattivo",1966,8.8,"703,018","161 min
|
186 min
            (dubbed)
          |
179 min
            (2003 extended English)
          |
142 min
            (1968)
            (cut)",Sergio Leone,"('Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef')","$1,200,000","$25,253,751"
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"1,699,670","178 min
|
208 min
            (Special DVD Extended Edition)
          |
228 min
            (Blu Ray Extended Edition)
          |
171 min
            (DVD Widescreen Edition)",Peter Jackson,"('Elijah Wood', 'Ian McKellen', 'Orlando Bloom')","$93,000,000","$897,690,072"
11,Fight Club,1999,8.8,"1,900,737","139 min
|
151 min
            (workprint)",David Fincher,"('Brad Pitt', 'Edward Norton', 'Meat Loaf')","$63,000,000","$101,209,702"
12,Forrest Gump,1994,8.7,"1,860,627",142 min,Robert Zemeckis,"('Tom Hanks', 'Robin Wright', 'Gary Sinise')","$55,000,000","$678,226,133"
13,Inception,2010,8.7,"2,124,707",148 min,Christopher Nolan,"('Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page')","$160,000,000","$836,836,967"
14,The Lord of the Rings: The Two Towers,2002,8.7,"1,517,887","179 min
|
235 min
            (Blu Ray Extended Edition)
          |
223 min
            (Special DVD Extended Edition)
          |
172 min
            (DVD Widescreen Edition)",Peter Jackson,"('Elijah Wood', 'Ian McKellen', 'Viggo Mortensen')","$94,000,000","$947,495,095"
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"1,183,035","124 min
|
127 min
            (special edition)",Irvin Kershner,"('Mark Hamill', 'Harrison Ford', 'Carrie Fisher')","$18,000,000","$538,375,067"
16,The Matrix,1999,8.6,"1,717,898",136 min,Lana Wachowski,"('Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss')","$63,000,000","$466,364,845"
17,Goodfellas,1990,8.6,"1,047,375",146 min,Martin Scorsese,"('Robert De Niro', 'Ray Liotta', 'Joe Pesci')","$25,000,000","$46,963,277"
18,One Flew Over the Cuckoo's Nest,1975,8.6,"936,652",133 min,Milos Forman,"('Jack Nicholson', 'Louise Fletcher', 'Michael Berryman')","$3,000,000","$109,110,141"
